"name","count","topcode","tricky","url","notes"
"American Chemistry Council",107,"Trade Associations",,,
"Competitive Enterprise Institute",104,"Issue Advocacy",,,
"Competitive Enterprise Institute",104,,,,
"Competitive Enterprise Institute",104,,,,
"Competitive Enterprise Institute",104,,,,
"Competitive Enterprise Institute",104,,,,
"National Consumers League",104,"Issue Advocacy",,,
"National Consumers League",104,,,,
"National Small Business Association",103,"Trade Associations",,,
"People For the American Way",102,,,,
"People For the American Way",102,"Trade Associations",,,
"National Cattlemen's Beef Association",101,,,,
"National Cattlemen's Beef Association",101,,,,
"National Cattlemen's Beef Association",101,"Trade Associations",,,
"Communications Workers of America",101,,,,
"Communications Workers of America",101,"Unions",,,
"Friends Committee on National Legislation",100,,,,
"Friends Committee on National Legislation",100,,,,
"Friends Committee on National Legislation",100,,,,
"Friends Committee on National Legislation",100,"Issue Advocacy",,,
"AARP",100,"Issue Advocacy",1,,
"National Wildlife Federation",98,,,,
"National Wildlife Federation",98,,,,
"National Wildlife Federation",98,"Issue Advocacy",,,
"National Association of Federal Credit Unions",98,"Trade Associations",,,
"Demos",95,,,,
"Demos",95,,,,
"Demos",95,"Issue Advocacy",,,
"International Franchise Association",95,"Trade Associations",,"http://www.franchise.org/",
"International Franchise Association",95,,,,
"Consumer Action",94,"Issue Advocacy",,,
"Consumer Action",94,,,,
"Consumer Action",94,,,,
"Credit Union National Association",94,"Trade Associations",,,
"Friends of the Earth",94,"Issue Advocacy",,,
"American Association of University Women",93,"Issue Advocacy",,,
"American Association of University Women",93,,,,
"National Association of Social Workers",92,"Professional",,,
"Union of Concerned Scientists",91,,,,
"Union of Concerned Scientists",91,,,,
"Union of Concerned Scientists",91,,,,
"Union of Concerned Scientists",91,,,,
"Union of Concerned Scientists",91,,,,
"Union of Concerned Scientists",91,"Issue Advocacy",,,
"Financial Services Roundtable",91,"Trade Associations",,,
"National Mining Association",89,"Trade Associations",,,
"National Association of Consumer Advocates",86,,,,
"National Association of Consumer Advocates",86,,,,
"National Association of Consumer Advocates",86,"Professional",,,
"American Library Association",85,"Issue Advocacy",,,
"American Library Association",85,,,,
"American Library Association",85,,,,
"National Council of Jewish Women",85,,,,
"National Council of Jewish Women",85,,,,
"National Council of Jewish Women",85,,,,
"National Council of Jewish Women",85,"Issue Advocacy",,,
"American Public Health Association",85,"Professional",,,
"American Public Health Association",85,,,,
"American Public Health Association",85,,,,
"National Restaurant Association",84,"Trade Associations",,,
"National Farmers Union",83,"Professional",,,
"National Farmers Union",83,,,,
"National Farmers Union",83,,,,
"Center for American Progress",82,"Issue Advocacy",,,
"Center for American Progress",82,,,,
"Center for American Progress",82,,,,
"Humane Society of the United States",81,"Issue Advocacy",,,
"Humane Society of the United States",81,,,,
"United Food and Commercial Workers International Union",80,"Unions",,,
"United Food and Commercial Workers International Union",80,,,,
"American Immigration Lawyers Association",78,"Professional",,,
"American Immigration Lawyers Association",78,,,,
"American Immigration Lawyers Association",78,,,,
"American Medical Association",78,"Professional",,,
"American Medical Association",78,,,,
"Microsoft",78,"Business",,,
"Common Cause",77,,,,
"Common Cause",77,,,,
"Common Cause",77,,,,
"Common Cause",77,"Issue Advocacy",,,
"American Veterinary Medical Association",77,"Professional",,,
"American Veterinary Medical Association",77,,,,
"Securities Industry and Financial Markets Association",77,"Trade Associations",,,
"Securities Industry and Financial Markets Association",77,,,,
"National Employment Law Project",76,"Issue Advocacy",,"http://nelp.org/about-us/",
"National Employment Law Project",76,,,,
"National Employment Law Project",76,,,,
"National Employment Law Project",76,,,,
"National Employment Law Project",76,,,,
"American Apparel & Footwear Association",76,"Trade Associations",,,
"American Apparel & Footwear Association",76,"Retail",,"https://www.wewear.org/aafa-on-the-issues/",
"National Association of Counties",75,,,,
"National Association of Counties",75,"Intergovernmental Lobby",,,
"Biotechnology Industry Organization",75,"Trade Associations",,,
"Biotechnology Industry Organization",75,,,,
"Biotechnology Industry Organization",75,,,,
"Defenders of Wildlife",75,"Issue Advocacy",,,
"Defenders of Wildlife",75,,,,
"Defenders of Wildlife",75,,,,
"American Bar Association",75,"Professional",,,
"American Bar Association",75,,,,
"American Academy of Pediatrics",74,,,,
"American Academy of Pediatrics",74,"Professional",,,
"Earthjustice",74,"Issue Advocacy",,,
"Earthjustice",74,,,,
"American Hotel & Lodging Association",74,"Trade Associations",,,
"American Council of Engineering Companies",73,"Trade Associations",,,
"American Council of Engineering Companies",73,,,,
"International Federation of Professional & Technical Engineers",73,"Unions",,"http://www.ifpte.org/",
"International Federation of Professional & Technical Engineers",73,,,,
"National Rifle Association",73,"Issue Advocacy",,,
"National Roofing Contractors Association",73,"Trade Associations",,"http://www.nrca.net/About/",
"Environment America",72,"Issue Advocacy",,,
"Environment America",72,,,,
"American Insurance Association",72,"Trade Associations",,,
"National Consumer Law Center",71,,,,
"National Consumer Law Center",71,,,,
"National Consumer Law Center",71,,,,
"National Consumer Law Center",71,,,,
"National Consumer Law Center",71,"Issue Advocacy",,,
"International Association of Machinists and Aerospace Workers",70,,,,
"International Association of Machinists and Aerospace Workers",70,"Unions",,,
"National Partnership for Women & Families",69,,,,
"National Partnership for Women & Families",69,,,,
"National Partnership for Women & Families",69,"Issue Advocacy",,,
"Center for Responsible Lending",68,"Issue Advocacy",,,
"Center for Responsible Lending",68,,,,
"Center for Responsible Lending",68,,,,
"Center for Responsible Lending",68,,,,
"Center for Responsible Lending",68,,,,
"American Bakers Association",68,"Trade Associations",,,
"American Bakers Association",68,,,,
"Human Rights Campaign",68,"Issue Advocacy",,,
"Council for Citizens Against Government Waste",68,"Issue Advocacy",,,
"Center for Biological Diversity",67,,,,
"Center for Biological Diversity",67,,,,
"Center for Biological Diversity",67,"Issue Advocacy",,,
"Electronic Frontier Foundation",66,,,,
"Electronic Frontier Foundation",66,,,,
"Electronic Frontier Foundation",66,"Issue Advocacy",,,
"Dow Chemical Company",66,,,,
"Dow Chemical Company",66,,,,
"Dow Chemical Company",66,"Business",,,
"Wilderness Society",66,"Issue Advocacy",,,
"Wilderness Society",66,,,,
"National Association for Gun Rights",65,"Issue Advocacy",,,
"National Association for Gun Rights",65,,,,
"Food Marketing Institute",64,"Trade Associations",,,
"Food Marketing Institute",64,,,,
"Information Technology Industry Council",64,"Trade Associations",,,
"Information Technology Industry Council",64,,,,
"60 Plus Association",63,"Issue Advocacy",,,
"60 Plus Association",63,,,,
"60 Plus Association",63,,,,
"60 Plus Association",63,,,,
"Verizon Communications",63,"Business",,,
"Consumer Electronics Association",62,"Trade Associations",,,
"Consumer Electronics Association",62,,,,
"Consumer Electronics Association",62,,,,
"Veterans of Foreign Wars of the United States",62,"Membership",1,,
"Veterans of Foreign Wars of the United States",62,,,,
"Club for Growth",62,"Issue Advocacy",,,
"Club for Growth",62,,,,
"International Dairy Foods Association",62,"Trade Associations",,,
"National Association of Wholesaler-Distributors",62,"Trade Associations",,,
"American Psychological Association",61,"Professional",,,
"American Lung Association",61,"Issue Advocacy",1,,
"American Lung Association",61,,,,
"American Hospital Association",61,"Trade Associations",,,
"Heritage Action for America",61,"Issue Advocacy",,,
"Agricultural Retailers Association",60,"Trade Associations",,,
"Agricultural Retailers Association",60,,,,
"American Rivers",60,"Issue Advocacy",,,
"American Rivers",60,,,,
"Edison Electric Institute",60,"Trade Associations",,,
"Edison Electric Institute",60,,,,
"IBM",60,"Business",,,
"Clean Water Action",60,"Issue Advocacy",,,
"American Forest & Paper Association",59,,,,
"American Forest & Paper Association",59,,,,
"American Forest & Paper Association",59,"Trade Associations",,,
"American Trucking Associations",59,"Trade Associations",,,
"American Trucking Associations",59,,,,
"National Corn Growers Association",59,"Trade Associations",,,
"National Corn Growers Association",59,,,,
"North American Meat Institute",59,"Trade Associations",,,
"National Cable & Telecommunications Association",59,"Trade Associations",,,
"Center for Democracy & Technology",58,,,,
"Center for Democracy & Technology",58,,,,
"Center for Democracy & Technology",58,,,,
"Center for Democracy & Technology",58,"Issue Advocacy",,,
"National Treasury Employees Union",58,"Unions",,,
"National Treasury Employees Union",58,,,,
"National Pork Producers Council",58,"Trade Associations",,,
"National Pork Producers Council",58,,,,
"Food & Water Watch",57,,,,
"Food & Water Watch",57,,,,
"Food & Water Watch",57,,,,
"Food & Water Watch",57,,,,
"Food & Water Watch",57,"Issue Advocacy",,,
"National Electrical Manufacturers Association",57,"Trade Associations",,,
"Grocery Manufacturers Association",57,"Trade Associations",,,
"Grocery Manufacturers Association",57,,,,
"Trust for America's Health",57,"Issue Advocacy",,,
"Trust for America's Health",57,,,,
"Trust for America's Health",57,,,,
"Religious Action Center of Reform Judaism",56,,,,
"Religious Action Center of Reform Judaism",56,,,,
"Religious Action Center of Reform Judaism",56,"Issue Advocacy",,,
"Environmental Defense Fund",56,,,,
"Environmental Defense Fund",56,"Issue Advocacy",,,
"League of United Latin American Citizens",55,,,,
"League of United Latin American Citizens",55,"Issue Advocacy",1,,
"American Heart Association",55,,,,
"American Heart Association",55,,,,
"American Heart Association",55,"Issue Advocacy",,,
"American Conservative Union",55,"Issue Advocacy",,,
"American Conservative Union",55,,,,
"Independent Electrical Contractors",55,"Trade Associations",,,
"Independent Electrical Contractors",55,,,,
"American Iron and Steel Institute",55,"Trade Associations",,,
"9to5",55,"Issue Advocacy",,,
"Disabled American Veterans",54,"Issue Advocacy",1,,
"Disabled American Veterans",54,,,,
"Consumer Bankers Association",54,"Trade Associations",,,
"Consumer Bankers Association",54,,,,
"American Soybean Association",54,"Trade Associations",,,
"American Soybean Association",54,,,,
"American Nurses Association",54,"Professional",,,
"American Nurses Association",54,,,,
"National Stone, Sand & Gravel Association",54,"Trade Associations",,,
"National Stone, Sand & Gravel Association",54,,,,
"Greenpeace",54,"Issue Advocacy",,,
"Greenpeace",54,,,,
"Greenpeace",54,,,,
"Greenpeace",54,,,,
"Associated Equipment Distributors",54,"Trade Associations",,,
"Associated Equipment Distributors",54,,,,
"Center for Effective Government",54,"Issue Advocacy",,,
"Center for Science in the Public Interest",53,,,,
"Center for Science in the Public Interest",53,,,,
"Center for Science in the Public Interest",53,,,,
"Center for Science in the Public Interest",53,,,,
"Center for Science in the Public Interest",53,,,,
"Center for Science in the Public Interest",53,"Issue Advocacy",,,
"United States Conference of Catholic Bishops",53,"Professional",1,,
"United States Conference of Catholic Bishops",53,,,,
"Paralyzed Veterans of America",53,,,,
"Paralyzed Veterans of America",53,"Membership",,,"Above this row: conflating membership and issue advocacy"
"National Council of Chain Restaurants",53,"Trade Associations",,,
"National Council of Chain Restaurants",53,,,,
"Software & Information Industry Association",53,"Trade Associations",,,
"Center for Food Safety",52,,,,
"Center for Food Safety",52,,,,
"Center for Food Safety",52,,,,
"Center for Food Safety",52,,,,
"Center for Food Safety",52,,,,
"Center for Food Safety",52,"Issue Advocacy",,,
"Main Street Alliance",52,"Trade Associations",,,
"Intel",52,"Business",,,
"Nature Conservancy",52,"Issue Advocacy",,,
"Firearms Policy Coalition",52,"Issue Advocacy",,,
"Property Casualty Insurers Association of America",52,"Trade Associations",,,
"League of Women Voters",51,,,,
"League of Women Voters",51,,,,
"League of Women Voters",51,,,,
"League of Women Voters",51,"Civic",,,
"Family Research Council",51,"Issue Advocacy",,,
"Family Research Council",51,,,,
"Family Research Council",51,,,,
"Unitarian Universalist Association",51,"Membership",,,
"Unitarian Universalist Association",51,,,,
"Brennan Center for Justice",51,"Issue Advocacy",,,
"Brennan Center for Justice",51,,,,
"Brennan Center for Justice",51,,,,
"Brennan Center for Justice",51,,,,
"First Focus Campaign for Children",51,"Issue Advocacy",,,
"First Focus Campaign for Children",51,,,,
"First Focus Campaign for Children",51,,,,
"United Methodist Church, General Board of Church and Society",51,"Issue Advocacy",,"https://umc-gbcs.org/",
"United Methodist Church, General Board of Church and Society",51,,,,
"United Methodist Church, General Board of Church and Society",51,,,,
"Campaign for Liberty",51,,,,
"Campaign for Liberty",51,"Issue Advocacy",,"http://www.campaignforliberty.org/",
"Caterpillar",51,"Business",,,
"Caterpillar",51,,,,
"American Foundry Society",51,"Trade Associations",,,
"American Foundry Society",51,,,,
"Alliance for Justice",50,,,,
"Alliance for Justice",50,,,,
"Alliance for Justice",50,,,,
"Alliance for Justice",50,"Issue Advocacy",,,
"Citizens for Responsibility & Ethics in Washington",50,,,,
"Citizens for Responsibility & Ethics in Washington",50,,,,
"Citizens for Responsibility & Ethics in Washington",50,,,,
"Citizens for Responsibility & Ethics in Washington",50,"Issue Advocacy",,,
"The Arc",50,"Membership",,"http://www.thearc.org/",
"The Arc",50,,,,
"OMB Watch",50,"Issue Advocacy",,"http://www.ombwatch.org/","Defunct"
"OMB Watch",50,,,,
"OMB Watch",50,,,,
"OMB Watch",50,,,,
"OMB Watch",50,,,,
"NACS",50,"Trade Associations",,"http://www.nacsonline.com/Pages/default.aspx",
"NACS",50,,,,
"NACS",50,,,,
"Aerospace Industries Association",50,"Trade Associations",,,
"Aerospace Industries Association",50,,,,
"Fraternal Order of Police",50,"Professional",,,
"Fraternal Order of Police",50,,,,
"Printing Industries of America",50,"Trade Associations",,,
"Google",49,"Buss",,,
"Google",49,,,,
"Government Accountability Project",49,"Issue Advocacy",,,
"Government Accountability Project",49,,,,
"Government Accountability Project",49,,,,
"Society for Human Resource Management",49,"Professional",,"https://en.wikipedia.org/wiki/Society_for_Human_Resource_Management",
"Society for Human Resource Management",49,,,,
"Society for Human Resource Management",49,,,,
"National Committee to Preserve Social Security and Medicare",49,"Issue Advocacy",,,
"National Committee to Preserve Social Security and Medicare",49,,,,
"National Committee to Preserve Social Security and Medicare",49,,,,
"Project On Government Oversight",49,,,,
"Project On Government Oversight",49,,,,
"Project On Government Oversight",49,"Issue Advocacy",,,
"United Church of Christ",49,"Religious",,,
"United Church of Christ",49,,,,
"Children's Defense Fund",49,"Issue Advocacy",,,
"National Association of Broadcasters",49,"Trade Associations",,,
"AT&T",49,"Business",,,
"Free Press",48,,,,
"Free Press",48,,,,
"Free Press",48,,,,
"Free Press",48,"Issue Advocacy",,"https://www.freepress.net/",
"Vietnam Veterans of America",48,,,,
"Vietnam Veterans of America",48,"Membership",,,
"Independent Petroleum Association of America",48,"Trade Associations",,,
"Independent Petroleum Association of America",48,,,,
"Association of Equipment Manufacturers",48,"Trade Associations",,,
"Association of Equipment Manufacturers",48,,,,
"National Women's Health Network",48,,,,
"National Women's Health Network",48,,,,
"National Women's Health Network",48,,,,
"National Women's Health Network",48,"Issue Advocacy",,,
"NETWORK, A National Catholic Social Justice Lobby",48,"Issue Advocacy",,,
"NETWORK, A National Catholic Social Justice Lobby",48,,,,
"NETWORK, A National Catholic Social Justice Lobby",48,,,,
"NETWORK, A National Catholic Social Justice Lobby",48,,,,
"National Milk Producers Federation",48,"Trade Associations",,,
"Human Rights Watch",48,"Issue Advocacy",,,
"Human Rights Watch",48,,,,
"BSA - The Software Alliance",48,"Issue Advocacy",,,
"National Audubon Society",48,,,,
"National Audubon Society",48,"Issue Advocacy",,,
"Mortgage Bankers Association",48,"Trade Associations",,,
"Telecommunications Industry Association",47,"Trade Associations",,,
"Telecommunications Industry Association",47,,,,
"TechAmerica",47,"Trade Associations",,,
"TechAmerica",47,,,,
"TechAmerica",47,,,,
"TechAmerica",47,,,,
"Oracle",47,"Buss",,,
"American Dental Association",47,"Professional",,,
"CTIA - The Wireless Association",47,"Trade Associations",,,
"Real Estate Roundtable",47,"Trade Associations",,,
"National Low Income Housing Coalition",46,"Issue Advocacy",,,
"National Low Income Housing Coalition",46,,,,
"International Foodservice Distributors Association",46,"Trade Associations",,,
"International Foodservice Distributors Association",46,,,,
"International Foodservice Distributors Association",46,,,,
"International Foodservice Distributors Association",46,,,,
"American Association of People with Disabilities",46,"Membership",,,
"American Association of People with Disabilities",46,,,,
"National Association of Wheat Growers",46,"Trade Associations",,,
"National Rural Electric Cooperative Association",46,"Trade Associations",,,
"Hewlett Packard",46,"Buss",,,
"National Gay and Lesbian Task Force",46,"Issue Advocacy",,,
"International Association of Fire Fighters",46,"Unions",,,
"National Foreign Trade Council",45,"Trade Associations",,,
"National Foreign Trade Council",45,,,,
"Taxpayers for Common Sense",45,,,,
"Taxpayers for Common Sense",45,"Issue Advocacy",,,
"Petroleum Marketers Association of America ",45,"Trade Associations",,,
"Petroleum Marketers Association of America ",45,,,,
"Alliance for Retired Americans",45,"Membership",,,
"Alliance for Retired Americans",45,,,,
"Coalition on Human Needs",45,,,,
"Coalition on Human Needs",45,"Issue Advocacy",,,
"National Grocers Association",45,"Trade Associations",,,
"Metals Service Center Institute",45,"Trade Associations",,,
"Metals Service Center Institute",45,,,,
"Sunlight Foundation",44,"Issue Advocacy",,,
"Sunlight Foundation",44,,,,
"Sunlight Foundation",44,,,,
"Concerned Women for America",44,"Issue Advocacy",,"http://concernedwomen.org/",
"Concerned Women for America",44,,,,
"Association of American Medical Colleges",44,"Trade Associations",,,
"Association of American Medical Colleges",44,,,,
"Association of American Medical Colleges",44,,,,
"National Alliance on Mental Illness",44,"Issue Advocacy",,,
"National Alliance on Mental Illness",44,,,,
"National Alliance on Mental Illness",44,,,,
"USAction",44,,,,
"USAction",44,,,,
"USAction",44,"Issue Advocacy",,,
"American Association of Law Libraries",44,,,,
"American Association of Law Libraries",44,,,,
"American Association of Law Libraries",44,,,,
"American Association of Law Libraries",44,"Trade Associations",,,
"Alliance for American Manufacturing",44,,,,
"Alliance for American Manufacturing",44,,,,
"Alliance for American Manufacturing",44,"Trade Associations",,,
"Environmental Working Group",44,,,,
"Environmental Working Group",44,,,,
"Environmental Working Group",44,,,,
"Environmental Working Group",44,"Issue Advocacy",,,
"National Association of County & City Health Officials",43,"Issue Advocacy",,"http://www.naccho.org/advocacy",
"National Association of County & City Health Officials",43,,,,
"National Association of County & City Health Officials",43,,,,
"Motor & Equipment Manufacturers Association",43,"Trade Associations",,,
"Motor & Equipment Manufacturers Association",43,,,,
"American Public Power Association",43,"Trade Associations",,,
"Information Technology and Innovation Foundation",43,,,,
"Information Technology and Innovation Foundation",43,,,,
"Information Technology and Innovation Foundation",43,"Issue Advocacy",,,
"Texas Instruments",43,"Business",,,
"Center for Law and Social Policy",43,,,,
"Center for Law and Social Policy",43,,,,
"Center for Law and Social Policy",43,,,,
"Center for Law and Social Policy",43,"Issue Advocacy",,,
"Progressive Democrats of America",42,"Issue Advocacy",,,
"Progressive Democrats of America",42,,,,
"Easter Seals",42,"Issue Advocacy",,,
"Easter Seals",42,,,,
"Easter Seals",42,,,,
"Easter Seals",42,,,,
"Physicians for Social Responsibility",42,"Issue Advocacy",,,
"Physicians for Social Responsibility",42,,,,
"Physicians for Social Responsibility",42,,,,
"Physicians for Social Responsibility",42,,,,
"Physicians for Social Responsibility",42,,,,
"American Association of Oral and Maxillofacial Surgeons",42,"Professional",,,
"American Association of Oral and Maxillofacial Surgeons",42,,,,
"National Fair Housing Alliance",42,,,,
"National Fair Housing Alliance",42,,,,
"National Fair Housing Alliance",42,"Issue Advocacy",,,
"USA Rice Federation",42,,,,
"USA Rice Federation",42,"Trade Associations",,,
"American Association for Justice",42,"Professional",,,
"American Association for Justice",42,,,,
"American Association for Justice",42,,,,
"National Council of Farmer Cooperatives",42,"Trade Associations",,,
"Industrial Energy Consumers of America",42,,,,
"Industrial Energy Consumers of America",42,,,,
"Industrial Energy Consumers of America",42,"Trade Associations",,"http://www.ieca-us.com/about-ieca/",
"Economic Policy Institute",42,,,,
"Economic Policy Institute",42,,,,
"Economic Policy Institute",42,"Issue Advocacy",,,
"Cisco Systems",42,,,,
"Cisco Systems",42,"Business",,,
"MomsRising",42,"Issue Advocacy",,,
"MomsRising",42,,,,
"General Electric",42,"Business",,,
"Computer & Communications Industry Association",41,,,,
"Computer & Communications Industry Association",41,,,,
"Computer & Communications Industry Association",41,"Trade Associations",,,
"American Academy of Family Physicians",41,,,,
"American Academy of Family Physicians",41,"Professional",,,
"NumbersUSA",41,,,,
"NumbersUSA",41,"Issue Advocacy",,"https://www.numbersusa.com/",
"National Turkey Federation",41,,,,
"National Turkey Federation",41,"Trade Associations",,,
"National Skills Coalition",41,"Issue Advocacy",,,
"Airlines for America",41,"Trade Associations",,,
"American Financial Services Association",41,"Trade Associations",,,
"Amnesty International",41,"Issue Advocacy",,,
"Families USA",41,"Issue Advocacy",,,
"Families USA",41,,,,
"Families USA",41,,,,
"Precision Metalforming Association",41,"Trade Associations",,,
"Johnson & Johnson",41,"Business",,,
"National Chicken Council",41,"Trade Associations",,,
"R Street Institute",41,"Issue Advocacy",,,
"United States Telecom Association",40,"Trade Associations",,,
"United States Telecom Association",40,,,,
"United States Telecom Association",40,"Trade Associations",,,
"National Association of Mutual Insurance Companies",40,,,,
"National Association of Mutual Insurance Companies",40,,,,
"Leadership Conference on Civil Rights",40,,,,
"Leadership Conference on Civil Rights",40,,,,
"Leadership Conference on Civil Rights",40,"Issue Advocacy",,,
"CompTIA",40,"Trade Associations",,,
"CompTIA",40,,,,
"CompTIA",40,,,,
"CompTIA",40,,,,
"Military Officers Association of America",40,,,,
"Military Officers Association of America",40,"Membership",,,
"National League of Cities",40,"Intergovernmental Lobby",,,
"National League of Cities",40,,,,
"The Fertilizer Institute",40,"Trade Associations",,,
"Boeing",40,"Business",,,
"Boeing",40,,,,
"American Supply Association",40,"Trade Associations",,,
"American Frozen Food Institute",40,"Trade Associations",,,
"American Frozen Food Institute",40,,,,
"DuPont",40,"Business",,,
"DuPont",40,,,,
"Pharmaceutical Research and Manufacturers of America",39,,,,
"Pharmaceutical Research and Manufacturers of America",39,"Trade Associations",,,
"National Urban League",39,"Issue Advocacy",,,
"National Urban League",39,,,,
"National Urban League",39,,,,
"Center for Community Change",39,"Issue Advocacy",,,
"Center for Community Change",39,,,,
"Center for Community Change",39,,,,
"Center for Community Change",39,,,,
"Jewish Council for Public Affairs",39,,,,
"Jewish Council for Public Affairs",39,,,,
"Jewish Council for Public Affairs",39,,,,
"Jewish Council for Public Affairs",39,,,,
"Jewish Council for Public Affairs",39,"Issue Advocacy",,,
"National Right to Life Committee",39,"Issue Advocacy",,,
"National Right to Life Committee",39,,,,
"National Shooting Sports Foundation",39,"Issue Advocacy",,,
"National Shooting Sports Foundation",39,,,,
"National Shooting Sports Foundation",39,,,,
"National Shooting Sports Foundation",39,,,,
"National Shooting Sports Foundation",39,,,,
"Association of American Universities",39,"Trade Associations",,,
"Association of American Universities",39,,,,
"Taxpayers Protection Alliance",39,"Issue Advocacy",,,
"Taxpayers Protection Alliance",39,,,,
"Alliance of Automobile Manufacturers",39,"Trade Associations",,,
"American Society of Civil Engineers",39,,,,
"American Society of Civil Engineers",39,"Professional",,,
"National Community Pharmacists Association",39,"Professional",,,
"Coalition of Labor Union Women",38,,,,
"Coalition of Labor Union Women",38,,,,
"Coalition of Labor Union Women",38,"Unions",,,
"Wider Opportunities for Women",38,,,,
"Wider Opportunities for Women",38,"Issue Advocacy",,,
"Association of American Railroads",38,"Trade Associations",,,
"Association of American Railroads",38,,,,
"John Birch Society",38,,,,
"John Birch Society",38,,,,
"John Birch Society",38,"Issue Advocacy",,,
"National Association of Police Organizations",38,"Professional",,,
"National Association of Police Organizations",38,,,,
"National Association of Police Organizations",38,,,,
"National Association of Criminal Defense Lawyers",38,"Professional",,,
"National Association of Criminal Defense Lawyers",38,,,,
"National Association of Chain Drug Stores",38,"Trade Associations",,,
"National Association of Chain Drug Stores",38,,,,
"National Association of Chain Drug Stores",38,,,,
"National Black Chamber of Commerce",38,"Trade Associations",,,
"National Black Chamber of Commerce",38,,,,
"American Institute of Architects",38,"Professional",,,
"United Technologies",38,"Business",,,
"United Technologies",38,,,,
"United Technologies",38,,,,
"Bloom Energy",38,"Business",,,
"Bloom Energy",38,,,,
"International Brotherhood of Electrical Workers",38,"Unions",,,
"American Council on Education",37,,,,
"American Council on Education",37,,,,
"American Council on Education",37,"Trade Associations",1,,
"National Community Reinvestment Coalition",37,,,,
"National Community Reinvestment Coalition",37,,,,
"National Community Reinvestment Coalition",37,,,,
"National Community Reinvestment Coalition",37,"Issue Advocacy",,,
"Automotive Aftermarket Industry Association",37,"Trade Associations",,,
